"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","11.983570098877","","","","","","","","","","","27.5293006896973","","","","","","","","","","52.2377586364746","","","","","","","","43.1571884155273","","","","","","54.641658782959","","","61.223690032959","","","","","69.4400024414062",
"Belgium","BEL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","9.53896045684814","","","","","","","","","","","","","16.5651206970215","","","","","","","","","","23.3001403808594","","","","18.4429092407227","","","","","","22.093879699707","","","","","","","","","","36.4000015258789",
"Burkina Faso","BFA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","3.39058995246887","","","","","","","","","","","","","","","","8.22542953491211","","","","","8.05797958374023","","","","","","","15.1887702941895","","16.6222400665283","16.291130065918","21.0272197723389","","","","","","","26.2202491760254","","","","31.0440807342529","24.6815395355225","","","29.1200008392334",
"Bangladesh","BGD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","17.9716300964355","","","","","","","","","","25.8389797210693","","","","","","","","","","40.8233489990234","","","","","","43.7408485412598","","","","55.1194381713867","54.2360382080078","57.7890014648438","57.8609313964844","62.2529907226562","69.8972091674805","70.0857009887695","71.1819381713867","71.9483871459961","72.0047836303711","","",
"Bulgaria","BGR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7064895629883","","","","","","","","","","97.9839019775391","","","","","","","","","","98.1699981689453","",
"Bahrain","BHR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","58.5910911560059","","","","","","","","","","76.9323196411133","","","","","","","","","","83.5574188232422","","","","","","","","","","90.6999969482422","","","","","","","","","","","",
"Bahamas, The","BHS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9593276977539","","","","","","","","","94.3599395751953","","","","","","","","","","","96.8037109375","","94.9104919433594","","","","","","","","","97.0999984741211",
"Belarus","BLR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.6282196044922","","","","","","","","","","99.4197235107422","","","","","","","","","","99.4939880371094","","","","","","","","","","99.8765106201172","","","",
"Belize","BLZ","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.3283920288086","","","","","","","","","","81.3000030517578","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","51.3746490478516","","","","","","","","","","","","","","","","72.3132171630859","","","","","","","","","80.6543807983398","","","","","","85.9859390258789","86.8317489624023","86.8214569091797","","88.0802001953125","91.8732681274414","","","88.5828628540039","","","","","90.5025863647461","","",
"Brazil","BRA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","72.8531494140625","","","","","","","","","","","","","","","","","","","","86.5000534057617","","","","88.8061294555664","","89.8555908203125","90.2280120849609","90.2195510864258","90.4112167358398","90.6817016601562","91.6331481933594","91.6249008178711","91.7649612426758","92.0605163574219","92.3437881469727","93.0212020874023","93.2437133789062","93.4250717163086","","","","94.9199981689453",
"Barbados","BRB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","99.2515563964844","","","","","","","","","","99.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","68.8418273925781","","","","","","","","","","82.4613571166992","","","","","","","","","","90.1615524291992","","","","","","","","","","94.6524810791016","","","","","","","96.3012619018555","","","96.8600006103516","",
"Bhutan","BTN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6806602478027","","","","","","","45.2045097351074","","","","","57.0836181640625","","","","","63.9000015258789",
"Botswana","BWA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2992401123047","","","","","","","","","","","","81.8079528808594","","","","","","","","","","87.4512100219727","","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","8.39958000183105","","","","","","","","","","","","","20.3368797302246","","","","","","","","","","","","35.290901184082","","","","","","","","","","24.355489730835","","","","","","","","25.7563800811768","","26.2000007629395","","",
