"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","219876006.548653","275885069.288535","311297572.422864","332787141.004408","575578114.586683","747531282.122334","604370542.687822","645455259.657068","835972654.513996","877559613.335903","888799341.357568","1069050494.26925","1883508898.71541","1799366997.75099","2174912308.92735","2421060316.88301","2564113133.93803","2475251513.82289","2468021006.36587","2291214985.36772","2903751764.53895","2882203118.74849","3652093489.1242","2938198434.40893","3419153672.0396","3377990131.78848","3032394025.42192","3105156035.19395","4092094955.88928","4696603912.93541","5731279638.44237","5826188818.07111","6535160445.43231","5917575883.98051","4474767258.8007","5692305606.48453","7505034785.90277","6688489625.67952","9009299048.11604","9730746751.98047","7430892778.20925","8446438383.96674","7168513757.02348","7774439041.73068","6521661935.97838","4831563730.03104","8094627349.4101","9040089473.35684",
"Central African Republic","CAF","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","130617229.484718","146670243.643065","159833288.793422","205381916.460526","177384691.936142","170931014.059103","162168742.837019","151939551.901035","184493285.401777","188327716.422361","199506507.697066","","214311038.646167","220373704.770264","181594276.497202","167417350.57278","186175730.186822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","7196751076.16469","7489304968.48136","7776342631.85785","8473383242.09928","9895900901.52017","10547872545.8018","12334126707.6901","13769635313.7101","15832266134.9151","17680911747.7376","21143929969.3993","22505772054.2629","25216058601.6615","32455398400.9389","42366919181.2812","41584858895.2492","47978953386.973","51867043800.5089","57723819543.3284","71474558488.4331","82843892578.8707","90563718219.3757","90756776663.3054","93571625486.0414","110693095277.154","110846989091.049","110522303116.803","121634118148.772","146072147484.422","155426040287.322","164487933885.193","162113942349.212","166933144496.685","179308453175.687","205347056576.558","237645928677.902","253148805157.605","273512957870.003","274809513429.911","305845831614.137","353285347789.072","326861644845.186","322895139943.442","350315475781.393","411288119001.745","471686632921.119","523770951402.629","574240614245.795","601987688562.788","441587417336.322","530366250634.791","617008470670.48","628021429859.097","633595812760.531","651216270438.09","568476612155.304","555554623572.189","608866564683.009","663213133704.411","675210825607.083","586373744262.009","738515628101.424","857776632231.618",
"Central Europe and the Baltics","CEB","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84339857201.7867","98382199813.3051","133715883920.803","141523981241.642","147922404736.368","162905945192.721","155353219228.857","177493503118.809","196991799625.286","215704611647.139","274748109146.499","377636287610.812","446425277925.343","544485327936.379","694753665851.736","829556638179.455","653324239027.783","734765130314.157","874180293099.801","848193540321.034","907227274148.814","949715456716.115","838391109090.532","874649100070.862","991371084293.808","1105516991119.14","1110927325578.64","1048407486255.64","1289066014100.89","1409685965625.92",
"Switzerland","CHE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","30234014010.2322","41347783596.5253","48588878276.6854","59462335113.3432","59250522212.1214","55011203543.9495","52918295993.287","56153098656.4474","57026402808.1599","74842266185.6527","88354839250.4874","99335064580.0588","104397450983.389","125718426625.235","121693942898.32","127349783284.009","122178643536.325","132123777822.866","154894102242.271","154946885542.997","155528805822.316","166557375775.228","170774315819.487","203651443059.24","194735048559.01","191790838085.583","235970100722.335","280158551714.831","327669363274.563","359804785537.299","424764240729.709","446992171148.283","415270242734.474","511405492353.927","580777598507.891","582423943472.004","622865444293.124","621273155164.806","581864147965.409","601159891012.126","629722731636.775","664309469298.625","656716814067.037","614634379993.257","745647003756.25","791479591852.49",
"Channel Islands","CHI","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","1842000000","2425000000","2621000000","2984000000","4746000000","6276000000","5614000000","5154000000","4831000000","4636000000","4697420000","5460660000","6523800000","8328900000","9855450000","10704900000","11644400000","12925100000","12215200000","15000400000","20226400000","21056424447.4761","22931915598.1874","21470916280.1911","21943547003.2402","24890789078.776","23868463511.7837","23679041178.8201","28268701175.9971","40999796182.9231","51389707863.8054","70465652409.1498","83579731830.1949","81032245861.5711","69373951163.182","88814906593.7809","101427647432.376","96969375036.2435","96581240295.76","92021745077.9579","77049347808.7","76520070964.4314","86534305218.3285","94059123737.4976","88381490820.1264","84473720755.7199","110938822309.672","121813541599.629",
"China","CHN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","24729000000","24735000000","28724000000","29641000000","30683000000","40147000000","47381000000","49717000000","60391000000","69617000000","84412000000","91242000000","124918000000","152431250000","178996000000","146243000000","146948000000","158214000000","202589270000","217960000000","255970416344.366","462070899008.669","625332175040.451","812611838954.089","1046294573489.58","1341532967443.55","1609656029354.84","1370915037313.72","1798836133342.28","2153120036894.13","2342129055768.52","2539567897419.11","2702274321141.03","2583968396725.28","2424576042121.25","2718975576076.03","2919505938716.79","2904513533412.15","2984400475536.29","3882547012607.56","3906074018370.37",
"Cote d'Ivoire","CIV","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8720802410.59266","9519984784.43305","9825571647.66737","11690362430.4555","12612200568.0903","12823052814.0433","13877555585.2112","13315176187.8489","13195328625.3643","14125247026.6632","12727230898.7862","12078571647.0789","13152925227.2033","13434460937.5321","14172573847.9231","13631340134.8927","16773497185.3157","",
"Cameroon","CMR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","978957614.938283","1318556494.35168","1718019815.36599","2096795400.43735","1829894902.97561","1800057044.38569","1835613604.65825","2039264004.34479","2163098409.30249","2581070639.64432","2112488393.84768","2317052634.17576","2346365286.42536","2515822942.60813","2381756628.49627","2383337897.92927","1915648603.56121","1804937904.59843","2052655977.32763","2535234363.5805","2513991429.91448","2462640613.40523","2216445279.89561","2699655681.16299","2872658146.47023","3041410657.04623","3243794531.7601","3929106897.51724","4281775615.0038","4915834671.23248","6401352185.87052","7420994826.29483","5466500002.77327","5706381855.18768","7684204902.40272","7590572691.21978","8195673647.27615","8764661784.55082","6917995726.33","6450612391.37978","6743092466.48985","7511529193.86961","7962324991.45448","6286863324.63756","7588425773.27462","",
